"recipe_number","recipe_index","image_number","title","source","download_url","filename"
"1","0","1","Flowers of multi-stemmed mullein plant, Verbascum thapsus - geograph.org.uk - 965483.jpg","https://commons.wikimedia.org/wiki/File:Flowers_of_multi-stemmed_mullein_plant,_Verbascum_thapsus_-_geograph.org.uk_-_965483.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Flowers%20of%20multi-stemmed%20mullein%20plant%2C%20Verbascum%20thapsus%20-%20geograph.org.uk%20-%20965483.jpg","recipe-001-img-01-Flowers_of_multi-stemmed_mullein_plant_Verbascum_thapsus_-_geograph.org.uk_-_965483.jpg"
"1","0","2","Leskenlehti, Luolala, Naantali, 24.4.2010.JPG","https://commons.wikimedia.org/wiki/File:Leskenlehti,_Luolala,_Naantali,_24.4.2010.JPG","https://commons.wikimedia.org/wiki/Special:FilePath/Leskenlehti%2C%20Luolala%2C%20Naantali%2C%2024.4.2010.JPG","recipe-001-img-02-Leskenlehti_Luolala_Naantali_24.4.2010.JPG"
"2","1","1","Ruta graveolens Ruta zwyczajna 2023-06-08 02.jpg","https://commons.wikimedia.org/wiki/File:Ruta_graveolens_Ruta_zwyczajna_2023-06-08_02.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Ruta%20graveolens%20Ruta%20zwyczajna%202023-06-08%2002.jpg","recipe-002-img-01-Ruta_graveolens_Ruta_zwyczajna_2023-06-08_02.jpg"
"3","2","1","Comfrey (Symphytum officinale) - geograph.org.uk - 472623.jpg","https://commons.wikimedia.org/wiki/File:Comfrey_(Symphytum_officinale)_-_geograph.org.uk_-_472623.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Comfrey%20%28Symphytum%20officinale%29%20-%20geograph.org.uk%20-%20472623.jpg","recipe-003-img-01-Comfrey_Symphytum_officinale_-_geograph.org.uk_-_472623.jpg"
"4","3","1","Meadowsweet by Lysekil Line in Brastad 7.jpg","https://commons.wikimedia.org/wiki/File:Meadowsweet_by_Lysekil_Line_in_Brastad_7.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Meadowsweet%20by%20Lysekil%20Line%20in%20Brastad%207.jpg","recipe-004-img-01-Meadowsweet_by_Lysekil_Line_in_Brastad_7.jpg"
"5","4","1","Sisymbrium officinale kz04.jpg","https://commons.wikimedia.org/wiki/File:Sisymbrium_officinale_kz04.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Sisymbrium%20officinale%20kz04.jpg","recipe-005-img-01-Sisymbrium_officinale_kz04.jpg"
"6","5","1","Lumbricus terrestris R.H (4).JPG","https://commons.wikimedia.org/wiki/File:Lumbricus_terrestris_R.H_(4).JPG","https://commons.wikimedia.org/wiki/Special:FilePath/Lumbricus%20terrestris%20R.H%20%284%29.JPG","recipe-006-img-01-Lumbricus_terrestris_R.H_4_.JPG"
"7","6","1","Taraxacum officinale 003.JPG","https://commons.wikimedia.org/wiki/File:Taraxacum_officinale_003.JPG","https://commons.wikimedia.org/wiki/Special:FilePath/Taraxacum%20officinale%20003.JPG","recipe-007-img-01-Taraxacum_officinale_003.JPG"
"8","7","1","Lavandula angustifolia in Sedovo 1.jpg","https://commons.wikimedia.org/wiki/File:Lavandula_angustifolia_in_Sedovo_1.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Lavandula%20angustifolia%20in%20Sedovo%201.jpg","recipe-008-img-01-Lavandula_angustifolia_in_Sedovo_1.jpg"
"9","8","1","Borago officinalis Ogórecznik lekarski 2023-02-22 02.jpg","https://commons.wikimedia.org/wiki/File:Borago_officinalis_Og%C3%B3recznik_lekarski_2023-02-22_02.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Borago%20officinalis%20Og%C3%B3recznik%20lekarski%202023-02-22%2002.jpg","recipe-009-img-01-Borago_officinalis_Og_recznik_lekarski_2023-02-22_02.jpg"
