"id","title","search_term","file_title","image_url","source_url","license","license_url","artist","status"
"1","Monk's Balm (Balsamum Monachi)","Balsamum Monachi","File:Abhandlung über die Pflanzenkunde in Böhmen (IA abhandlungberd12ster).pdf","https://upload.wikimedia.org/wikipedia/commons/a/a4/Abhandlung_%C3%BCber_die_Pflanzenkunde_in_B%C3%B6hmen_%28IA_abhandlungberd12ster%29.pdf","https://commons.wikimedia.org/wiki/File:Abhandlung_%C3%BCber_die_Pflanzenkunde_in_B%C3%B6hmen_(IA_abhandlungberd12ster).pdf","Public domain","","Sternberg, Kaspar, Graf, 1761-1838","found"
"2","Red Wine & Rue Cordial","Red Wine & Rue Cordial","File:Pacific wine and spirit review (IA pacificwinespiri29sanfrich).pdf","https://upload.wikimedia.org/wikipedia/commons/b/ba/Pacific_wine_and_spirit_review_%28IA_pacificwinespiri29sanfrich%29.pdf","https://commons.wikimedia.org/wiki/File:Pacific_wine_and_spirit_review_(IA_pacificwinespiri29sanfrich).pdf","Public domain","","","found"
"3","Comfrey Knitbone Liniment","Comfrey Knitbone Liniment","","","","","","","missing"
"4","Meadowsweet Spiritus (Aqua Mirabilis)","Aqua Mirabilis","File:Piscina Mirabilis.jpg","https://upload.wikimedia.org/wikipedia/commons/2/23/Piscina_Mirabilis.jpg","https://commons.wikimedia.org/wiki/File:Piscina_Mirabilis.jpg","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","","found"
"5","Hedge Mustard Syrup (for Singers)","for Singers","File:Rocknroll singer amk.jpg","https://upload.wikimedia.org/wikipedia/commons/d/df/Rocknroll_singer_amk.jpg","https://commons.wikimedia.org/wiki/File:Rocknroll_singer_amk.jpg","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","user:AngMoKio","found"
"6","Grave-Digger's Oil (Oil of Earthworms)","Oil of Earthworms","File:Syrup jar for Oil of Earthworms, Italy, 1731-1770 Wellcome L0057156.jpg","https://upload.wikimedia.org/wikipedia/commons/2/27/Syrup_jar_for_Oil_of_Earthworms%2C_Italy%2C_1731-1770_Wellcome_L0057156.jpg","https://commons.wikimedia.org/wiki/File:Syrup_jar_for_Oil_of_Earthworms,_Italy,_1731-1770_Wellcome_L0057156.jpg","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","","found"
"7","Dandelion Root Coffee (Taraxacum Infusion)","Taraxacum Infusion","File:Packaged dandelion root coffee.jpg","https://upload.wikimedia.org/wikipedia/commons/3/39/Packaged_dandelion_root_coffee.jpg","https://commons.wikimedia.org/wiki/File:Packaged_dandelion_root_coffee.jpg","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Gavin Bloemen","found"
"8","Lavender Bath Bags (Soporific)","Soporific","File:Hypnotic-spiral.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c6/Hypnotic-spiral.jpg","https://commons.wikimedia.org/wiki/File:Hypnotic-spiral.jpg","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","Lawrencedwolf","found"
"9","Borage Syrup for Melancholy","Borage Syrup for Melancholy","File:The anatomy of melancholy (IA cu31924064950714).pdf","https://upload.wikimedia.org/wikipedia/commons/2/2c/The_anatomy_of_melancholy_%28IA_cu31924064950714%29.pdf","https://commons.wikimedia.org/wiki/File:The_anatomy_of_melancholy_(IA_cu31924064950714).pdf","Public domain","","Burton, Robert, 1577-1640","found"
"10","Sloe Gin (for Colic & Cramps)","for Colic & Cramps","File:Some observations on Mr. Baker's Essay on the endemial colic of Devonshire ... To which are added some remarks on the same subject (IA b30787968 0002).pdf","https://upload.wikimedia.org/wikipedia/commons/9/97/Some_observations_on_Mr._Baker%27s_Essay_on_the_endemial_colic_of_Devonshire_..._To_which_are_added_some_remarks_on_the_same_subject_%28IA_b30787968_0002%29.pdf","https://commons.wikimedia.org/wiki/File:Some_observations_on_Mr._Baker%27s_Essay_on_the_endemial_colic_of_Devonshire_..._To_which_are_added_some_remarks_on_the_same_subject_(IA_b30787968_0002).pdf","Public domain","","Geach, Francis, 1724-1798","found"
"11","Elderberry and Anise Oxymel","Elderberry and Anise Oxymel","","","","","","","missing"
"12","Pennyroyal Tincture (Mentha pulegium)","Mentha pulegium","File:Mentha Pulegium 11.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0f/Mentha_Pulegium_11.jpg","https://commons.wikimedia.org/wiki/File:Mentha_Pulegium_11.jpg","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","EmirDzaferovic","found"
